"HappinessScore","GDPperCapita","SocialSupport","LifeExpectancy","Freedom","Country","SuicideRate"
7.842,10.775,0.954,72,0.949,"Finland",16.3368737997341
7.62,10.933,0.954,72.7,0.946,"Denmark",11.5082485437804
7.571,11.117,0.942,74.4,0.919,"Switzerland",13.6343957325547
7.554,10.878,0.983,73,0.955,"Iceland",13.7838417363103
7.464,10.932,0.942,72.4,0.913,"Netherlands",11.5439866256936
7.392,11.053,0.954,73.3,0.96,"Norway",11.7752655277297
7.363,10.867,0.934,72.7,0.945,"Sweden",12.8708786135854
7.324,11.647,0.908,72.6,0.907,"Luxembourg",10.7789853279057
7.277,10.643,0.948,73.4,0.929,"New Zealand",12.7563447264443
7.268,10.906,0.934,73.3,0.908,"Austria",15.5398415731553
7.183,10.796,0.94,73.9,0.914,"Australia",12.4941634566603
7.157,10.575,0.939,73.503,0.8,"Israel",5.36222252702211
7.155,10.873,0.903,72.5,0.875,"Germany",12.9408716649805
7.103,10.776,0.926,73.8,0.915,"Canada",11.9854896315736
7.085,11.342,0.947,72.4,0.879,"Ireland",12.0234776204192
7.069,9.88,0.891,71.4,0.934,"Costa Rica",7.03434336898244
7.064,10.707,0.934,72.5,0.859,"United Kingdom",7.77486454899293
6.951,11.023,0.92,68.2,0.837,"United States of America",14.0987225941763
6.834,10.823,0.906,72.199,0.783,"Belgium",18.61833725798
6.69,10.704,0.942,74,0.822,"France",16.4415367488275
6.647,10.669,0.862,69.495,0.925,"Bahrain",1.20663652429911
6.602,10.674,0.931,72.2,0.927,"Malta",6.58455428018462
6.561,11.085,0.844,67.333,0.932,"United Arab Emirates",1.65256588132993
6.491,10.571,0.932,74.7,0.761,"Spain",8.20779010170425
6.483,10.623,0.88,73.8,0.693,"Italy",7.25829853271717
6.461,10.529,0.948,71.4,0.949,"Slovenia",21.8683428312319
6.435,9.053,0.813,64.958,0.906,"Guatemala",3.27565975095445
6.431,9.966,0.925,69.1,0.896,"Uruguay",18.4182452995368
6.377,11.488,0.915,76.953,0.927,"Singapore",9.51324133917829
6.33,9.577,0.882,66.601,0.804,"Brazil",5.59231039616846
6.317,9.859,0.831,68.597,0.862,"Mexico",5.23193159303936
6.309,9.186,0.877,67.5,0.89,"Jamaica",1.09804033232241
6.255,10.499,0.935,67.906,0.773,"Lithuania",33.5388278071364
6.223,10.576,0.802,73.898,0.763,"Cyprus",4.98618523407245
6.189,10.481,0.941,68.8,0.909,"Estonia",17.8017649789357
6.18,10.35,0.896,69.652,0.872,"Panama",3.86014267737852
6.179,8.836,0.918,65.255,0.97,"Uzbekistan",6.7823074657822
6.172,10.071,0.882,70,0.742,"Chile",11.3783677606522
6.166,10.382,0.898,69.702,0.841,"Poland",16.679065804716
6.152,10.155,0.952,65.2,0.853,"Kazakhstan",21.2231739525788
6.14,10.284,0.832,67.355,0.845,"Romania",11.9480843982081
6.106,10.817,0.843,66.9,0.867,"Kuwait",1.39944768217154
6.078,9.787,0.873,68.6,0.778,"Serbia",17.237797684386
6.061,9.054,0.762,66.402,0.888,"El Salvador",8.06046901306444
6.049,10.008,0.905,66.701,0.867,"Mauritius",9.23565359083601
6.032,10.315,0.927,67.1,0.715,"Latvia",21.2677511048575
6.012,9.557,0.847,68.001,0.837,"Colombia",4.90931302143953
5.992,10.358,0.943,68,0.755,"Hungary",21.240616448743
5.985,9.805,0.888,67.401,0.884,"Thailand",6.63624076685465
5.972,8.62,0.864,67.657,0.836,"Nicaragua",6.24830055121095
5.94,10.611,0.884,75.1,0.796,"Japan",21.320769663866
5.929,9.962,0.898,69,0.828,"Argentina",7.95255509013216
5.929,10.421,0.879,72.6,0.892,"Portugal",10.9152493861525
5.882,10.217,0.924,70.799,0.754,"Croatia",17.9599176423852
5.88,9.076,0.83,62,0.917,"Philippines",2.4965724926992
5.813,9.59,0.87,68.098,0.706,"Bosnia and Herzegovina",8.68315392916116
5.766,9.454,0.857,65.699,0.822,"Republic of Moldova",16.8283679869671
5.764,9.313,0.821,68.8,0.842,"Ecuador",6.22992261358944
5.744,8.538,0.893,64.401,0.935,"Kyrgyzstan",9.25272287297864
5.723,10.279,0.823,72.6,0.582,"Greece",4.98774067734107
5.677,9.4,0.935,62.5,0.708,"Mongolia",16.6780077119108
5.653,9.448,0.893,65.9,0.876,"Paraguay",5.23992166220133
5.581,9.94,0.858,68.699,0.708,"Montenegro",16.0523251177066
5.534,9.853,0.91,66.253,0.65,"Belarus",24.4920845452571
5.477,10.189,0.903,64.703,0.718,"Russian Federation",20.9211908319363
5.283,9.487,0.799,67.055,0.825,"Armenia",2.46276697291769
5.266,10.016,0.931,67,0.788,"Bulgaria",11.2540206462748
5.198,9.826,0.913,70.6,0.854,"Maldives",0.57413010557176
5.171,9.569,0.836,65.656,0.814,"Azerbaijan",1.83941832458325
5.117,9.52,0.697,68.999,0.785,"Albania",2.7576007231548
5.066,9.629,0.983,62.409,0.877,"Turkmenistan",2.68564501629475
4.956,9.403,0.86,56.904,0.749,"South Africa",1.03310269703348
4.948,10.24,0.822,67.199,0.576,"Turkey",2.15813486546987
4.892,9.073,0.861,66.7,0.615,"Venezuela (Bolivarian Republic of)",2.74846930151448
4.891,9.585,0.671,64.3,0.783,"Georgia",3.94350987051316
4.875,9.436,0.888,64.902,0.724,"Ukraine",20.2788540105379
4.325,9.47,0.827,67.299,0.841,"Sri Lanka",26.0688248689437
